,id,song,tags,thumbnail
29,6FtZhorjCMfkaVJ7kKdmq7,single saiyaan,"single saiyaan,payal dev, sukriti kakar, prakriti kakar,desi pop, modern bollywood,20,64",https://i.scdn.co/image/ab6761610000e5ebad471d68dd2bb62e7d0ebb49
30,6qcIg4IPLulyc03mWR87N8,roll roll,"roll roll,kanika kapoor, mellow d, akull,desi hip hop, desi pop, filmi, modern bollywood,20,58",https://i.scdn.co/image/ab67616d0000b27357e724ee71e9500dacb1754f
31,1DctKQQOA4GfV6Pc9WngX5,baby no way,"baby no way,addy nagar,,20,29",https://i.scdn.co/image/ab6761610000e5eb6780895b23105c7890107bae
32,5wQDQFm7Ku8WWGi5xqJ9lp,auntiyaan dance karengi,"auntiyaan dance karengi,jyotica tangri, sunny inder,desi pop, filmi, modern bollywood,20,59",https://i.scdn.co/image/ab6761610000e5ebaf94e2b2579d98d4d3b1ab15
33,0y59o4v8uw5crbN9M3JiL1,slow slow,"slow slow,badshah, payal dev,desi hip hop, desi pop, desi trap, haryanvi pop, modern bollywood,20,73",https://i.scdn.co/image/ab6761610000e5eb65c4852dfd1db12654bdf188
34,44qmu406wtVedid4I3H5tZ,deewane,"deewane,rii,,20,20",https://i.scdn.co/image/ab6761610000e5eb8cea99929d548f848f43344b
35,1BYjhAClGpBTLZfics0VRZ,dhoondein sitaare,"dhoondein sitaare,aastha gill, king,desi pop, modern bollywood,20,62",https://i.scdn.co/image/ab6761610000e5eb0a96629904ecff301557082c
36,1mBydYMVBECdDmMfE2sEUO,kheench te nach,"kheench te nach ,sachin-jigar, vishal dadlani, shalmali kholgade, brijesh shandilya,desi pop, filmi, gujarati pop, modern bollywood,20,69",https://i.scdn.co/image/ab6761610000e5eba038d7d87f8577bbb9686bd3
37,0L5GV6LN8SWWUWIdBbTLTZ,tattoo waaliye,"tattoo waaliye ,shankar-ehsaan-loy, neha kakkar, pardeep sran, amitabh bhattacharya,desi pop, filmi, modern bollywood,20,66",https://i.scdn.co/image/ab6761610000e5eb3db0499a689aa9b4a47ebba3
38,1cfG7UM0OD4O1II1nd15Qo,kill chori,"kill chori,ash king, nikhita gandhi, sachin-jigar,desi pop, filmi, modern bollywood,20,63",https://i.scdn.co/image/ab6761610000e5ebe675e42665c0bb20d55ea773
